pl_name,pl_rade,pl_bmasse,pl_orbper,pl_orbsmax,pl_eqt,st_teff,st_rad,st_mass,st_met,spec_F,spec_G,spec_K,spec_M,spec_m,st_lum,temp_score,radius_score,dist_score,lum_score,habitability_score,habitable,stellar_temp_score,stellar_mass_score,stellar_compatibility_index,orbital_stability
AU Mic b,0.1475989610447915,0.0044787857012471,8.46308,0.0649,0.1254665518231409,0.1432842195174033,0.744,0.51,0.23,False,False,True,False,False,2.0932889003444372e-19,0.0,0.5737994805223958,0.3765999999999999,0.5,0.2051521095094233,0,-5776.856715780484,0.7421052631578947,0.3710526315789473,0.0015048051835616
AU Mic c,0.0851448494060718,0.0044787857012471,18.85969,0.1108,0.0849842090152167,0.1432842195174033,0.744,0.51,0.23,False,False,True,False,False,2.0932889003444372e-19,0.0,0.5425724247030359,0.4072,0.5,0.2039409768989442,0,-5776.856715780484,0.7421052631578947,0.3710526315789473,0.0057250784986301
GJ 1252 b,0.0272930760238529,0.0,0.5182331,0.06,0.2024117140396209,0.0963057868887465,0.391,0.381,0.1,False,False,False,True,False,1.1799209197362976e-20,0.0,0.5136465380119265,0.3733333333333334,0.5,0.0826597341150283,0,-5776.903694213112,0.6742105263157895,0.3371052631578947,8.518900273972293e-05
GJ 238 b,0.0,0.0044787857012471,1.7446999,0.02123,0.1708297444731553,0.1020713218022635,0.4314,0.4193,0.15,False,False,False,True,False,1.8124460448657712e-20,0.0,0.5,0.3474866666666666,0.5,0.0063802282053324,0,-5776.897928678199,0.6943684210526315,0.3471842105263157,0.0001014793941835
GJ 3090 b,0.0702568177073343,0.0004575295848041,2.85310198,0.0316,0.1607809359747344,0.1494768310911808,0.516,0.519,0.12,False,False,False,True,False,1.192572476914691e-19,0.0,0.5351284088536672,0.3543999999999999,0.5,0.087582129841476,0,-5776.85052316891,0.746842105263158,0.373421052631579,0.0002470082810082
GJ 3473 b,0.0303836795289463,7.720811743570435e-05,1.1980035,0.01589,0.1751363766867642,0.0726030322442879,0.364,0.36,0.11,False,False,True,False,False,3.30302342950883e-21,0.0,0.5151918397644732,0.3439266666666666,0.5,0.0288466498916868,0,-5776.927396967757,0.6631578947368421,0.331578947368421,5.215417976712492e-05
HD 110082 b,0.1146570370762817,0.0044787857012471,10.18271,0.113,0.2024117140396209,0.681827888105915,1.19,1.21,0.08,True,False,False,False,False,2.7458879787373554e-16,0.0,0.5573285185381409,0.4086666666666666,0.5000000000000001,0.2352745737958614,0,-5776.318172111895,0.8894736842105263,0.4447368421052631,0.0031524554246575
HD 110113 b,0.0645979662191352,0.0004618189246617,2.541,0.035,0.3468274476026413,0.5818919496049542,0.968,0.997,0.14,False,True,False,False,False,9.638511278811931e-17,0.0,0.5322989831095676,0.3566666666666667,0.5,0.0864951837523415,0,-5776.418108050396,0.998421052631579,0.4992105263157895,0.0002436575342465
HD 135694 b,0.0997263750728024,0.0044787857012471,15.923475568,0.124695,0.2024117140396209,0.577621183002349,1.08,1.02,0.06,False,False,True,False,False,1.164956764673109e-16,0.0,0.5498631875364012,0.4164633333333333,0.5,0.2359145350503753,0,-5776.422378816998,0.9894736842105264,0.4947368421052631,0.0054399391395938
HD 1397 b,0.4759718316424282,0.0186699879820179,11.53533,0.1097,0.3058570198105081,0.5368353619474697,2.336,1.324,0.29,False,False,True,False,False,4.0663053615295144e-16,0.0,0.7379859158212141,0.4064666666666666,0.5000000000000002,0.5799577212250613,1,-5776.463164638053,0.8294736842105263,0.4147368421052631,0.0034669197287671
HD 15337 b,0.0524096707060908,0.0007433425973115,4.7559804,0.06,0.2024117140396209,0.4535554131966688,0.855,0.829,0.03,False,False,True,False,False,2.775514483341655e-17,0.0,0.5262048353530454,0.3733333333333334,0.5,0.1069155706328186,0,-5776.546444586805,0.91,0.4549999999999999,0.0007818049972602
HD 15337 c,0.0853180685913106,0.0007823755900151,17.180546,0.06,0.2024117140396209,0.4535554131966688,0.855,0.829,0.03,False,False,True,False,False,2.775514483341655e-17,0.0,0.5426590342956553,0.3733333333333334,0.5,0.1386961813909635,0,-5776.546444586805,0.91,0.4549999999999999,0.0028241993424657
HD 15906 b,0.0728685953172724,0.0044787857012471,10.924709,0.09,0.1449899511915015,0.3736920777279521,0.762,0.79,0.02,False,False,True,False,False,1.0159102830160024e-17,0.0,0.5364342976586363,0.3933333333333333,0.5,0.1653025378934449,0,-5776.626307922273,0.8894736842105263,0.4447368421052631,0.0026937638630136
HD 15906 c,0.1029040378315604,0.0044787857012471,21.583298,0.141,0.1059431524547803,0.3736920777279521,0.762,0.79,0.02,False,False,True,False,False,1.0159102830160024e-17,0.0,0.5514520189157801,0.4273333333333333,0.5,0.2599782571404279,0,-5776.626307922273,0.8894736842105263,0.4447368421052631,0.0083376575835616
HD 202772 A b,0.7292041733801631,0.0460264911129126,3.308958,0.05208,0.5653172552397357,0.6972026478752937,2.591,1.72,0.3,False,False,True,False,False,1.4231831304896529e-15,0.0,0.8646020866900814,0.3680533333333333,0.5000000000000007,0.7503178862660769,1,-5776.302797352126,0.6210526315789473,0.3105263157894736,0.000472138445589
HD 207496 b,0.0733038915855954,0.0006834348173012,6.441008,0.0629,0.1665231122595463,0.3869314541960282,0.769,0.8,0.095,False,False,True,False,False,1.1892650930915146e-17,0.0,0.5366519457927977,0.3752666666666666,0.5,0.1308278902746238,0,-5776.613068545805,0.8947368421052632,0.4473684210526316,0.0011099709676712
HD 21520 b,0.0927616347796341,0.0023419795622163,25.1292,0.1726,0.136089577950043,0.6115737774930601,1.044,1.09,0.049,False,False,True,False,False,1.3680005459805667e-16,0.0,0.546380817389817,0.4484,0.5,0.2908728423648572,0,-5776.388426222507,0.9526315789473684,0.4763157894736842,0.011883013479452
HD 21749 c,0.0141906583473302,0.0003402876286981,7.78993,0.0695,0.1544645420614412,0.3487080931027119,0.695,0.73,0.003,False,False,True,False,False,6.4077796220005745e-18,0.0,0.5070953291736651,0.3796666666666667,0.5,0.0822389165085315,0,-5776.651291906898,0.8578947368421053,0.4289473684210526,0.0014832880410958
HD 219666 b,0.1885703434375294,0.0023276817626912,6.034468,0.06,0.2621303474016652,0.5408925902199446,1.059,1.02,0.06,False,False,True,False,False,8.612433830118273e-17,0.0,0.5942851717187647,0.3733333333333334,0.5,0.2384099495368894,0,-5776.459107409781,0.9894736842105264,0.4947368421052631,0.0009919673424657
