planet_name,host_star_name,radius_earth,pl_radj,mass_earth,pl_massj,orbital_period,semimajor_axis,eq_temp_k,density,star_temp_k,star_luminosity,star_metallicity,star_spectype,habitability_score,stellar_compatibility,orbital_stability,star_A,star_B,star_F,star_G,star_K,star_M,star_Unknown,radius_earth_scaled,mass_earth_scaled,orbital_period_scaled,semimajor_axis_scaled,eq_temp_k_scaled,density_scaled,star_temp_k_scaled,star_luminosity_scaled,star_metallicity_scaled,habitable_binary
11 Com b,11 Com,2.42,,196.050555,,323.21,1.178,811.0,1.33,4874.0,1.97823,-0.26,G8 III,0.6074189989431872,1.0,5.9447433636211455,False,False,False,True,False,False,False,0.0,0.0,10.220065016423929,5.36985890498269,0.0,0.0,-0.7689362865736943,2.0051,-1.142857142857143,0
11 UMi b,11 UMi,2.42,,196.050555,,516.21997,1.53,811.0,1.33,4213.0,-0.02687,-0.02,G0 V,0.6074189989431872,1.0,6.673066024435986,False,False,False,True,False,False,False,0.0,0.0,16.539934019323244,7.129484984440807,0.0,0.0,-1.491933278643697,0.0,0.0,0
14 And b,14 And,2.42,,196.050555,,186.76,0.775,811.0,1.33,4888.0,1.83992,-0.21,K0 III,0.6074189989431872,0.9,4.981817350684357,False,False,False,False,True,False,False,0.0,0.0,5.75218117889154,3.3552870015121785,0.0,0.0,-0.7536231884057971,1.86679,-0.9047619047619048,0
14 Her b,14 Her,2.42,,2559.47216157,8.053,1765.0389,2.774,811.0,1.33,5577.0,-0.02687,-0.02,G0 V,0.6074189989431872,1.0,8.49642254909906,False,False,False,True,False,False,False,0.0,2363.42160657,57.43094107942946,13.348163515253008,0.0,0.0,0.0,0.0,0.0,0
16 Cyg B b,16 Cyg B,2.42,,196.050555,,798.5,1.66,811.0,1.33,5750.0,-0.02687,0.06,G0 V,0.6074189989431872,1.0,7.190306712184886,False,False,False,True,False,False,False,0.0,0.0,25.782838993270904,7.779346888786133,0.0,0.0,0.18922614164615806,0.0,0.380952380952381,0
17 Sco b,17 Sco,2.42,,196.050555,,578.38,1.45,811.0,1.33,4157.0,2.25435,-0.01,K3 III,0.6074189989431872,0.9,6.7329863293127366,False,False,False,False,True,False,False,0.0,0.0,18.575286114431552,6.729569966382144,0.0,0.0,-1.5531856713152858,2.2812200000000002,0.04761904761904762,0
18 Del b,18 Del,2.42,,196.050555,,982.85,2.476,811.0,1.33,4980.0,1.63367,-0.06,G6 III,0.6074189989431872,1.0,7.79751170939761,False,False,False,True,False,False,False,0.0,0.0,31.819148157426977,11.85848007298449,0.0,0.0,-0.6529942575881871,1.66054,-0.19047619047619047,0
1RXS J160929.1-210524 b,1RXS J160929.1-210524,18.647,1.664,2543.0,8.0,11.0873213,330.0,1800.0,1.33,4060.0,-0.02687,-0.02,K7 V,0.2618028277365029,0.9,8.205168159831523,False,False,False,False,True,False,False,13.08629032258064,2346.949445,0.0,1649.1305597560518,2.801699716713881,0.0,-1.6592835657642877,0.0,0.0,0
24 Boo b,24 Boo,2.42,,196.050555,,30.33,0.194,811.0,1.33,4816.0,1.87691,-0.78,G3 IV,0.6074189989431872,1.0,1.9292027836326961,False,False,False,True,False,False,False,0.0,0.0,0.6300773408175799,0.450904182861142,0.0,0.0,-0.8323762646978398,1.90378,-3.619047619047619,0
24 Sex b,24 Sex,2.42,,196.050555,,452.8,1.333,811.0,1.33,5098.0,1.164,-0.03,G0 V,0.6074189989431872,1.0,6.404537971766175,False,False,False,True,False,False,False,0.0,0.0,14.463326771688294,6.14469425247135,0.0,0.0,-0.5239267158873393,1.1908699999999999,-0.047619047619047616,0
